held_out_attack,n_train,n_test,accuracy,precision,recall,f1
Fuzzers,233427,24246,0.21549946382908522,1.0,0.21549946382908522,0.3545858640697635
Analysis,254996,2677,0.8087411281285021,1.0,0.8087411281285021,0.8942585708384965
DoS,241320,16353,0.9940683666605515,1.0,0.9940683666605515,0.9970253610966298
Exploits,213148,44525,0.9741942728804043,1.0,0.9741942728804043,0.9869284763540802
Generic,198802,58871,0.9310526405191011,1.0,0.9310526405191011,0.9642954531460288
Reconnaissance,243686,13987,0.9699721169657539,1.0,0.9699721169657539,0.9847572040357117
Shellcode,256162,1511,0.9430840502978161,1.0,0.9430840502978161,0.970708446866485
Worms,257499,174,1.0,1.0,1.0,1.0
