,0
sttl,0.1270091258078107
ct_state_ttl,0.12311023751195624
dload,0.06735594750396347
rate,0.0629050183435041
sload,0.05373639563238254
dttl,0.04515756994732105
dmean,0.042795079854479584
ackdat,0.04202608591480363
smean,0.02936383552650466
ct_srv_dst,0.02817250254052298
sbytes,0.02801520880374085
synack,0.027165451726540692
dinpkt,0.027035429839755043
tcprtt,0.022760657543786353
ct_srv_src,0.022673968915387418
dbytes,0.022637480932332497
dur,0.021968418574663584
ct_dst_src_ltm,0.021165907303670153
sinpkt,0.019539007743505372
sjit,0.018696585782677962
djit,0.014967426235845769
dpkts,0.014882929138961996
state,0.013735415900976265
ct_dst_sport_ltm,0.01208711256503096
spkts,0.011369611952786383
ct_dst_ltm,0.010033851850413776
dloss,0.008585686214728015
ct_src_ltm,0.008371464290018145
dtcpb,0.007630221330455764
is_sm_ips_ports,0.00755948803209056
stcpb,0.007095324470815439
ct_src_dport_ltm,0.005839828332120644
proto,0.005655570157434464
sloss,0.005331615974211449
service,0.00452160006912239
swin,0.0035933274314872738
response_body_len,0.0017625307884347931
ct_flw_http_mthd,0.0014532624888569168
trans_depth,0.0013963957463332122
dwin,0.0006442083549003097
ct_ftp_cmd,0.00010401514763520377
is_ftp_login,8.919777803133206e-05
